ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_group,Metadata_gut,Neighbors_FirstClosestDistance_Expanded,Neighbors_SecondClosestDistance_Expanded
1,1,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,87.64014926,94.30096846
1,2,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,84.9325937,87.64014926
1,3,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,68.90047075,73.34443526
1,4,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,54.77330281,68.90047075
1,5,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,46.90873363,54.77330281
1,6,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,46.90873363,68.05112673
1,7,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,86.19254196,145.2577681
1,8,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,68.15917553,73.34443526
1,9,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,68.15917553,68.53017203
1,10,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,71.67740476,119.0377214
1,11,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,66.05424904,68.05112673
1,12,file:///C:/Users/cynth/Documents/Loza-Coll%20Lab/21412/21412/Exp%20JPEGs/21412exp_130%5E112_6d_10-DAPI-GFP.jpg,Indy OE,10,65.61135925,68.53017203
